date;w00;w03;w06;w09;w12;w15;w18;w21;;;;;;;;;t00;t03;t06;t09;t12;t15;t18;t21;r00;r03;r06;r09;r12;r15;r18;r21;с00;с03;с06;с09;с12;с15;с18;с21
02.08.2011;2;2;2;2;2;2;1;2;;;;;;;;;10;9;14;19;20;19;16;14;;;;;;;;0.5;83;53;29;19;49;70;98;99
03.08.2011;1;2;2;2;1;3;4;3;;;;;;;;;13;12;12;15;20;19;14;9;0.9;3.2;2.2;0.3;;;;;100;100;100;99;32;17;;
04.08.2011;3;3;2;2;2;2;1;1;;;;;;;;;8;8;12;18;21;21;15;13;;;;;;;;;;;;;;;;19
05.08.2011;1;1;2;2;3;3;3;3;;;;;;;;;12;9;14;19;21;21;16;12;;;;;;;;;77;76;29;37;52;37;9;28
06.08.2011;3;3;3;2;4;4;2;2;;;;;;;;;11;11;13;12;15;19;16;14;;;0.4;2.3;;;;;89;92;98;99;94;68;24;47
07.08.2011;3;2;1;1;2;2;2;3;;;;;;;;;12;12;13;19;21;20;16;12;;;;;;;;;83;90;100;96;37;31;;
08.08.2011;3;2;1;1;3;3;2;3;;;;;;;;;10;9;14;20;21;22;16;14;;;;;;;;;;;;18;90;63;;
09.08.2011;3;3;3;3;3;3;2;3;;;;;;;;;13;12;17;24;26;25;20;16;;;;;;;;;54;68;88;88;88;86;62;49
10.08.2011;3;3;3;3;3;3;2;3;;;;;;;;;15;14;19;25;28;28;22;19;;;;;;;;;38;39;58;41;;;;
11.08.2011;3;2;2;1;1;2;1;2;;;;;;;;;16;15;20;29;31;29;22;20;;;;;;;;;8;14;14;8;;8;;13
12.08.2011;2;2;1;2;3;3;2;2;;;;;;;;;17;15;22;28;30;29;24;20;;;;;;;;;42;32;45;39;37;32;43;22
13.08.2011;2;2;2;2;3;3;2;2;;;;;;;;;18;17;22;28;30;30;23;19;;;;;;;;;;9;9;;;;;
